date,ret
2000-08-29,0.00011567779294288458
2000-08-30,0.0013330246197286125
2000-08-31,0.010239963035816606
2000-09-01,0.006177560074280523
2000-09-05,-0.0031770010856677798
2000-09-06,-0.0004214539616584404
2000-09-07,0.006427913316505296
2000-09-08,-0.005831728011199559
2000-09-11,0.0029075173864819208
2000-09-12,-0.0036217732711810494
2000-09-13,0.0019604406026277168
2000-09-14,0.004903422803233411
2000-09-15,-0.006668960562177739
2000-09-18,-0.023526939232225572
2000-09-19,0.0033219090413657585
2000-09-20,-0.0077837167244439
2000-09-21,-0.004430450403358284
2000-09-22,0.0015876772330837275
2000-09-25,-0.008269560239872385
2000-09-26,-0.006654663694854089
2000-09-27,0.003960490693579488
2000-09-28,0.016346131024427835
2000-09-29,-0.003083808886955355
2000-10-02,-0.013765654511064587
